Timestamp,Angry,Disgust,Fear,Happy,Sad,Surprise,Neutral
1.45,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.64,0.0057989973574876785,5.075482476968318e-06,0.002442955132573843,2.6875595722231083e-06,0.06166488379240036,0.020039836317300795,0.9100455638903077
1.78,0.007022120291367173,9.144651994574814e-06,0.004489144622348249,1.3468041061059921e-05,0.12471185110509395,0.029780257903039453,0.8339740208168368
1.91,0.007388308004010469,1.060065689671319e-05,0.005293700271053239,2.817774910681692e-05,0.18280121470615268,0.035279364673420785,0.7691986444437985
2.05,0.007512854519882239,1.3936142833699705e-05,0.005852550060523208,5.6848939101996615e-05,0.23463526633735746,0.03758340158304199,0.7143451567323877
2.18,0.007453906045557232,1.6203499879520678e-05,0.006510698944778995,8.046633223236198e-05,0.2777046270892303,0.04032740950837265,0.6679067102839145
2.31,0.007080356098980701,1.649552891555686e-05,0.0069292627241551805,9.686480711377356e-05,0.3168781242337315,0.04040086540049663,0.628598060596526
2.43,0.007263199008485026,2.1476173398354603e-05,0.006992380592923754,0.0001261617614384635,0.3478622719974831,0.04275964430567024,0.5949749068502429
2.55,0.007245358539492682,2.5516118344858863e-05,0.007472068740200186,0.0001241921697600888,0.37322362686512744,0.04389736270514069,0.5680119166134563
2.68,0.00985113430737473,2.8451769042929933e-05,0.007494808254234996,0.00013959129330074236,0.3921678554169356,0.046939916121620906,0.5433782803975308
2.81,0.011129232758394529,3.26800333454902e-05,0.007148819903487023,0.00014401091448452264,0.409327798831385,0.04976325079948715,0.5224542531009054
2.94,0.010994053519760473,3.056977017017998e-05,0.0072511794364312765,0.00014708926514870623,0.42542608746462396,0.05133730296918114,0.5048137746927843
3.07,0.011101760545318988,3.404470234861026e-05,0.006951818628321642,0.0001501089650894075,0.43980906350699395,0.052470329338650964,0.4894829306761846
3.21,0.010123086790471095,2.9489725404345697e-05,0.006321990701349051,0.00015578001554498896,0.4544244234938843,0.052813000102033124,0.47613228114118816
3.34,0.008986127072641745,2.5483209933281147e-05,0.0058121199746904275,0.00019333243226066332,0.4701474012337634,0.04993836563210827,0.46489721711738696
3.47,0.008355067626222044,2.198157501606562e-05,0.00546590252312952,0.00018878345645343225,0.47857455772083324,0.05213215000106861,0.4552616011822829
3.61,0.00795811709922697,1.9804426508876877e-05,0.00524901985027138,0.0001928916098012896,0.48542496668927987,0.0540269722757029,0.44712827303030644
3.74,0.007943067787466684,1.9487558478207187e-05,0.005009763781918407,0.00020809928855251804,0.49522396565961985,0.05126613936669572,0.44032950805844884
3.88,0.00784462364868224,2.037521250912554e-05,0.0047743858800784475,0.00021210419851840526,0.5022981538898242,0.05036698271900318,0.43448340803119007
4.01,0.009533821539357456,2.102857243822833e-05,0.004656918214496212,0.00022332221568415776,0.501234531735134,0.054940967177941565,0.4293894425672007
4.14,0.010351453013677278,2.1061865140525392e-05,0.004585547586133878,0.00021434485074916355,0.5028790566171597,0.05683917455698553,0.42510939394653025
4.28,0.011360128721187558,2.671639011255958e-05,0.004696930614112,0.00021649654207951617,0.501296919377504,0.0607121671726473,0.4216906848129161
4.41,0.013104071499657173,3.5633800092741845e-05,0.00486572135060872,0.00022891317674408627,0.4936918179423406,0.06929250448114103,0.418781373583344
4.54,0.01374007611422619,4.6650097021704726e-05,0.004888439728288537,0.00023371309602596344,0.4949481175538078,0.06973425255011978,0.4164087758905388
4.68,0.014528503297334398,5.026905518698773e-05,0.004970460535782956,0.00022334533736963232,0.49280369165209414,0.07314319610518955,0.41428056856260376
4.81,0.01494561870200501,5.057379648050799e-05,0.005097724737170959,0.00021348716775750713,0.4883595084177192,0.07897844731742472,0.4123546715076008
4.94,0.014525608255541386,4.6232731435730926e-05,0.005064524681222519,0.00020561930344301156,0.48879758951790386,0.08068772998396735,0.4106727293555795
5.08,0.015490833425486735,5.156191357656688e-05,0.0053864307688293546,0.00020164745799427144,0.48068397216069864,0.08883433212739779,0.40935125597987376
5.21,0.01978349553135033,6.88319656534477e-05,0.005594835685367389,0.0002145318798827683,0.4712011578307344,0.09467610040721466,0.40846108296387124
